,job_title,company,location,compensation,desc,Seniority level,Employment type,Job function,Industries
218,Survey and Data Coordinator,Zviran Compensation & Benefits Solutions Ltd,"Tel Aviv-Yafo, Tel Aviv, Israel",N/A,"Direct message the job poster from Zviran Compensation & Benefits Solutions Ltd Hanna Jacobson   About us: Zviran is Israel’s leading and largest consulting firm in the space of compensation, benefits, pension and employee risk benefits, as well as HR processes. For more than three decades, Zviran has served hundreds of employers from a variety of industries, sizes, and sectors, whether based locally or abroad. Sixty percent of the companies on the Tel-Aviv 35 index are Zviran clients. Zviran brings unique added-value to its clients through its special combination of in-depth knowledge of all aspects of the labor market in Israel – compensation, pension and employee risk benefits, labor law, taxation, labor unions, equity-based compensation – along with data collection and analysis on compensation, benefits and employment terms from hundreds of companies over more than 35 years We're looking for a Survey and Data Coordinator.  The role includes: Management and documentation of customer relationships Domain’s accounting (invoicing customers and suppliers payments) Providing an ongoing response to the company's clients and the analysts’ team Management of all administrative tasks of the domain Preparation of material for meetings and discussions Accompaniment and assistance in the company's projects (periodic documents, communication to customers, events, conferences, customer meetings and more).  Job requirements: Relevant Bachelor's Degree – an advantage Excellent control of Excel and Power Point - a must Proficiency level of English – a must Ability to work together Willingness to work under load Punctuality and thoroughness Responsibility and ability to work independently Multitasking   Work location: Tel Aviv ",,Full-time,,
219,Flutter Developer,FillingSpot Services Pvt. Ltd.,"Kolkata, West Bengal, India",N/A,"Flutter Developer ( Work from Office Only )  Experience: Should be highly experienced in Flutter development Salary: 45,000 – 50,000 (per month) Male / Female both can apply Shift Timing : 10am - 6.30pm Location: Saltlake, Sector 5  Job Description : Solid understanding of Flutter, Dart, Flutter animations. Should be preferable if he/she has experience working with native technologies Like Android, IOS Experience with 3rd party libraries and APIs Knowledge and understanding of Firebase Experienced in working with remote data via Restful APIs and JSON Strong understanding of design patterns over and above MVP,MVVM and MVC Bug fixing and improving application performance Unit testing code for robustness, including edge cases, usability and general reliability. Must have built at least 2 Android and or IOS apps with Flutter.  Technical Responsibilities :  Design and develop secure and high-performing front-end design for both Android and IOS using Flutter. Hands-on experience in Flutter hybrid application development (Android/iOS) Familiarity with both XCode and Android Studio. Hands-on experience in JavaScript, RESTful services, JSON Experience in Social API integration, Core location APIs, Push Notifications. Must have work experience with Flutter SDK and Dart programming language. Analytical, Problem Solving, and Decision-Making Skills. Should have knowledge of client requirements analysis. Knowledge of app publish to Playstore and Appstore. Write clear, maintainable, and testable code that you are proud off. Modify & Restructure the template based design as per the requirement of the project. Work across all the aspects of web development to enhance the overall experience and skills  Perks :  Monthly payment during the Internship period : Industry standard Half-yearly bonus on the basis of performance Letter of recommendation  Qualifications :  Should be highly experienced in Flutter development. Hands on experience on Flutter app design & development. At least worked on 3-4 projects on flutter previously. Knowledge of Native mobile app development is a Bonus  Skillset :  There are many skills needed to be a successful Flutter Developer. Some skills required to consider include organisation trustworthiness, interpersonal skills, communication skills, flexibility and time management skills. Those pursuing this career should improve their skills in these fields and become potential candidates for the position. Leadership skills, Organisational skills, Approachable, Customer Service skills, Decision-making skills, Responsible, Multi-tasking, Time management.  1. Excellent knowledge of HTML5, CSS3 2. Excellent knowledge of Javascript, Jquery 3. Excellent knowledge of the Bootstrap framework 4. Good at Troubleshooting 5. Good Communication skills 6. Teamwork 7. Coordination  Attention to detail :  1. Accuracy 2. Pro-activity 3. Record keeping 4. Intuition  IMMEDIATE JOINER CAN APPLY",,Full-time,,
220,Java Software Engineer,Indusface,"Bengaluru, Karnataka, India",N/A,"Direct message the job poster from Indusface Manthan Rana Empowering People to Build their Career Collaborative, Quality conscious, Self-motivated, strong in verbal and written communications Software development experience in building high performant, secure and scalable web applications Design and development experience in Java 8, web applications, rest API, Spring, spring boot, spring data, relational db like MySQL and hibernate Must be comfortable using Linux based system as a test platform Must have good understanding of code management, release management tools Fair understanding of dynamically scalable cloud architectures and big data solutions Experience with AWS, Rabbit MQ, Kafka, Elastic Search, REDIS etc. is desirable Some experience in front end development using GWT or Angular will be a plus",,Full-time,,
221,Lead Data Scientist,Remote Worker,"London, England, United Kingdom",N/A,Do you want the chance to work with one of the fastest growing tech companies in Europe? My client is currently looking for a highly technical Data Scientist to lead a rapidly growing team of Data Scientists/ Machine Learning Engineers. You will play a critical part in the business with a fantastic opportunity for career progression. Essentials: Experience managing a team of Data Scientists Excellent python skills Experience putting ML models into production Hand-on experience working with cloud based solutions 5 years of experience as a technical Data Scientist This position can be fully remote or hybrid if you wish to use their stunning office in London. If you are looking for new and exciting opportunities please send over a copy of your CV or reach out to me on LinkedIn Charlie Burnham 0116 461 0070,Associate,Full-time,Engineering and Information Technology,Staffing and Recruiting
222,Mass Events Coordinator,Remote Worker,"London, England, United Kingdom",N/A,"Job Title: Mass Events Coordinator Region: London (hybrid working) or Home based Directorate: Fundraising Contract: 6-monthFixed Term Contract, Full Time, 35 hours per week Salary: £25,813 to £28,025 per annum, plus £4,452 London Weighting if applicable The Role At the Royal British Legion, we believe in building on potential. As a?Mass Events Coordinator your ability to plan and deliver a range of fundraising events, could have a real impact on people’s lives. At its heart, RBL is a people organisation. People who want to do the very best for others, while at the same time making the most of the opportunities and experiences we offer them. We are the country’s largest Armed Forces charity, with 210,000 members, 50,000 volunteers and a network of partners and charities; helping us give support wherever and whenever it’s needed. As a?Mass Events Coordinator, you will be responsible for managing the planning process and high quality implementation of event logistical delivery ensuring a high quality supporter experience, as well as building strong relationships with event partners and contribute to the development of the events portfolio. If successful, the main duties of your role will be: To manage event logistics expenditure budgets supporting delivery of mass events targets and objectives, prepare monthly and quarterly reports and contribute to budgeting process. To manage the planning, project management and logistical delivery of a range of fundraising events in the UK and overseas in accordance with strategies and plans to meet KPI’s and generate insight. To manage the delivery of our events portfolio to include course design, venue liaison in the UK and continental Europe, management of road closures, health and safety, organisation of commemorative ceremonies and events, booking and management of travel, hotel liaison. Carry out detailed evaluations on events with recommendations using data insight for future planning and present these findings and recommendations to management. To contribute to the development of existing events to maximise ROI and net contribution. Please note that this role can be based at our London office, which is located at Haig House, 199 Borough High Street, London SE1 1AA, or can be homebased. London Weighting will be offered to candidates based at Haig House with an expectation to attend the London office regularly. Candidates taking up the role on a remote basis will not be eligible for London Weighting. About the Royal British Legion - Careers in Fundraising Across the country, in every city and on every street, the RBL is there to support our Armed Forces community. With over 200 employees, our Fundraising teams form an important part of this pack. Their passion and collaboration bring in millions of pounds every year. Money that goes on to improve and change the lives of this community. It's this mission, this scale, this challenge and the values we all live by, that makes the RBL such a fulfilling place to thrive. As a directorate we commit to ensuring our supporters feel valued, and driven to deliver fundraising that is effective, agile and sector leading. We do this by putting supporters at the heart of everything we do, and by embedding a learning culture in our teams where process improvement and innovation are embraced and celebrated. So, if you want to give your days meaning. To put your passion into a role with real impact. To support people and be supported yourself. In an inclusive team that faces every challenge together. Whatever your interests and ambitions, we think you’ll find a role here that works for you, with career opportunities right across the UK. Diversity Statement We believe that the compassion, understanding and service we show each, and every individual customer should be reflected in the way we all support, respect and include every individual who works with us. It’s because of this that we have strived hard to create a One Legion culture that we can all feel part of and succeed in. It’s why we make sure that you have the opportunities you need to learn and develop. It’s why we’re invested in making RBL a truly inclusive place to work, where everyone can be themselves. It’s why you’re welcome, whoever you might be. It’s why we welcome applications from people with diverse backgrounds and experiences. How to Apply Please Click ""Apply Online"" Closing date for this role is: Sunday 1st May 2022",Entry level,Full-time,Management and Manufacturing,Staffing and Recruiting
223,Irving Data Science Tutor,"Varsity Tutors, a Nerdy Company","Irving, TX",N/A,"Irving Data Science Tutor Jobs  The Varsity Tutors platform has thousands of students looking for online Data Science tutors nationally and in Irving. As a tutor who uses the Varsity Tutors platform, you can earn good money, choose your own hours, and truly make a difference in the lives of your students.  Why join our platform? Enjoy competitive rates and get paid 2x per week. Choose to tutor as much or as little as you want. Set your own hours and schedule. Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients). Tutor online (i.e. “work remotely”) using our purpose-built Live Learning Platform. Students can take adaptive assessments through the platform and share results to help you decide where to focus. We collect payment from the customers, so all you have to do is invoice the session. What We Look For In a Tutor You have excellent communication skills and a friendly, approachable personality. You can show subject-matter expertise in Data Science. You have the ability to personalize lessons for each student. Discover all the ways you can reach students through the online platform: 1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience. Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience. VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design. Large Live Classes: share your knowledge with hundreds of students at a time. School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes. Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like. About Varsity Tutors And 1-on-1 Online Tutoring  Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. With 1-on-1 Online Tutoring, individual students are connected with tutors for a highly personalized learning experience. We believe our thoughtful approach to matching students with the right tutors can improve outcomes, and we look forward to connecting you with students hungry to learn.  Please note: Varsity Tutors does not contract in: Alaska, California, Delaware, Hawaii, Maine, New Hampshire, North Dakota, Vermont, West Virginia or Puerto Rico.",Entry level,Full-time,Education and Training,Internet Publishing
224,Digital Marketing Intern,ILP Overseas | International Learning Planners,India,N/A,"Direct message the job poster from ILP Overseas | International Learning Planners Anjali Yadav Student at Banasthali University WE'RE HIRING!!  (UNPAID INTERNSHIP)  I am Anjali , from ILP Overseas. We are looking for enthusiastic candidates to be a part of Digital marketing Domain.  If you're ready to kickstart your career in the corporate world and build real-world experience, internship is for you Company Profile:- ILP Overseas is having 25+ Branches Pan India with 100% Visa Success Ratio. Leading Pioneer Brand in Overs Reached Milestone of 7000+ interns till 2021. 1) We are not a Virtual Company, we are having physical Branches in Pan India 2) Pan India 25+ Branches successfully 3) 20years Old Organization 4) 10,000 Alumni Students visa.     Internship Perks: • Personal Mentoring in any lacking Domain. • You don’t have to use your personal data, we give the datasheets to you. • Completion Certificate • FIRST in India, Verification on our website till 10yrs. - You will get a unique career id where your Task Performance, Start date End date, -Certificate Verification, welcome flyer verification, and many more. - Letter of Recommendation. -Interns will get a work experience certificate when they complete 16 weeks in our company as an intern. Internship Duration: 6, 8 or 16 weeks. Working Hours: 6hrs a Day (Flexible Timings  -Looking for suitable candidates to be a part of the Digital Marketing  Domain which includes  I. interns will have to increase our social media handlers by their experiences.  II. Video Making.  III. Video Editing.   IV. Increasing media presence with precise target audience. Internship Details: It’s 4C Training ✓ International Learning ✓ International certificate after Completing. Letter of Recommendation. ✓ 2 Best Performers will be able to Join Our Core Team. ✓ You Can work Remotely.  ✓ You Can't work or do other Internships with present Internships. ✓ Confidential Information Cannot be leaked from Your Side. ✓ Training Evolves you in Sales, Marketing, International Education learning & Digital. ",,Internship,,
225,Louisville Data Science Tutor,"Varsity Tutors, a Nerdy Company","Louisville, KY",N/A,"Louisville Data Science Tutor Jobs  The Varsity Tutors platform has thousands of students looking for online Data Science tutors nationally and in Louisville. As a tutor who uses the Varsity Tutors platform, you can earn good money, choose your own hours, and truly make a difference in the lives of your students.  Why join our platform? Enjoy competitive rates and get paid 2x per week. Choose to tutor as much or as little as you want. Set your own hours and schedule. Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients). Tutor online (i.e. “work remotely”) using our purpose-built Live Learning Platform. Students can take adaptive assessments through the platform and share results to help you decide where to focus. We collect payment from the customers, so all you have to do is invoice the session. What We Look For In a Tutor You have excellent communication skills and a friendly, approachable personality. You can show subject-matter expertise in Data Science. You have the ability to personalize lessons for each student. Discover all the ways you can reach students through the online platform: 1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience. Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience. VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design. Large Live Classes: share your knowledge with hundreds of students at a time. School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes. Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like. About Varsity Tutors And 1-on-1 Online Tutoring  Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. With 1-on-1 Online Tutoring, individual students are connected with tutors for a highly personalized learning experience. We believe our thoughtful approach to matching students with the right tutors can improve outcomes, and we look forward to connecting you with students hungry to learn.  Please note: Varsity Tutors does not contract in: Alaska, California, Delaware, Hawaii, Maine, New Hampshire, North Dakota, Vermont, West Virginia or Puerto Rico.",Entry level,Full-time,Education and Training,Internet Publishing
226,Data Governance Officer,Remote Worker,"Amesbury, England, United Kingdom",N/A,"Data Governance Officer Animal Friends has grown to become not only a multi-award-winning business but one of the largest pet insurance providers in the UK, with over 450 colleagues helping us to look after over 1 million of the nation’s pets, offering cover for cats, dogs and horses. Package: c£50-£55k DOE with excellent benefits including 23 holiday days (plus your birthday off), on-site parking, and pet insurance discount. This can be fully remote or hybrid working - whatever suits you best What you`ll get up to as a Data Governance Officer This is a new role, and will support our Head of Data Governance to ensure the successful implementation of a robust Data Governance Framework and Service Model. The role will provide expertise in all aspects of data governance and use, ensuring high standards are maintained in-line with regulations and ethical requirements. You will be responsible for helping to deliver the data governance roadmap, communicating progress and conducting maturity assessments as the capabilities are embedded. You will promote a culture of awareness, helping to define the necessary roles, structures, and standards. You will help to develop policies, processes and procedures to drive better data governance, improving data quality and trust in information assets across the organisation. If you are looking for an influential role to help embed and integrate data governance capabilities to make us a truly data-led governed organisation, then this role is for you What we look for in you Essential: Proven experience in contributing to the development and implementation of a data governance framework. Broader data management understanding, demonstrating how data governance and data quality fits within the data management ecosystem. Ability to champion data management best practice across Animal Friends, inspiring others. Experience of establishing and working with Data Owners, Data Stewards and Data Custodians. Hands on experience of implementing data governance including the establishment of boards/councils. Experience of facilitating working groups and contributing to the resolution of data issues. Desirable: Demonstratable knowledge of DAMA’s Data Management Body of Knowledge (DMBoK). A DAMA Certified Data Management Professional (CDMP) or working towards CDMP. Experience of drafting policy, preferably for data management. A good working knowledge of Data Quality Management (DQM) and how this relates to data governance. Experience with data governance tools to deliver a business glossary, a data catalogue and data lineage. Experience of measuring an organisation’s data management maturity and working with data management maturity models. Experience of managing a business glossary. Experience of administering data sharing agreements. A working knowledge of GDPR/DPA18 and the governance of personal data. Ability to demonstrate potential leadership skills. What Animal Friends is all about A large part of our success is due to our company values which are the foundation of how we work, we are courageous by continually looking for new ways to innovate our customers experience and the pet insurance industry. We are kind-hearted with animal welfare being important to us, we donate and support over 300 charities across the UK and worldwide, to date, we have donated over £6.6 million. And we are passionate about the support we provide to our customers helping them care for their pets. Benefits of working with Animal Friends We recognise that your hard work shouldn`t come without its perks, so here`s a little list of some of the things you can expect to get from us: 23 days annual leave plus bank holidays and we give you your birthday off 95% of our employee’s own pets, we’re able to provide up to 50% off insurance along with free access to our Vet consultation app JOII We believe looking after employees’ health is important, so we offer discount on gym membership, access to a Wellbeing hub and a health care cash plan We like to celebrate success and recognise excellent employee performance; we will donate £3k to the charity of our employee of the quarter’s choice Most importantly, you`ll be working within a courageous, passionate and kind-hearted team Animal Friends Pet Insurance Ltd is an equal opportunities employer and we welcome people of all ages, ethnicities, disabilities, religions and sexual orientations. Your application will be dealt with in the strictest of confidence. As an FCA regulated business, we require successful applicants to clear our pre-employment screening process which includes a credit check and references checks. Please be aware this advert will remain open until the vacancy has been filled rather than the advertised closing date. Interviews will take place throughout this period; therefore, we encourage you to apply early to avoid disappointment.",Entry level,Full-time,Information Technology,Staffing and Recruiting
227,Tucson Data Science Tutor,"Varsity Tutors, a Nerdy Company","Tucson, AZ",N/A,"Tucson Data Science Tutor Jobs  The Varsity Tutors platform has thousands of students looking for online Data Science tutors nationally and in Tucson. As a tutor who uses the Varsity Tutors platform, you can earn good money, choose your own hours, and truly make a difference in the lives of your students.  Why join our platform? Enjoy competitive rates and get paid 2x per week. Choose to tutor as much or as little as you want. Set your own hours and schedule. Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients). Tutor online (i.e. “work remotely”) using our purpose-built Live Learning Platform. Students can take adaptive assessments through the platform and share results to help you decide where to focus. We collect payment from the customers, so all you have to do is invoice the session. What We Look For In a Tutor You have excellent communication skills and a friendly, approachable personality. You can show subject-matter expertise in Data Science. You have the ability to personalize lessons for each student. Discover all the ways you can reach students through the online platform: 1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience. Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience. VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design. Large Live Classes: share your knowledge with hundreds of students at a time. School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes. Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like. About Varsity Tutors And 1-on-1 Online Tutoring  Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. With 1-on-1 Online Tutoring, individual students are connected with tutors for a highly personalized learning experience. We believe our thoughtful approach to matching students with the right tutors can improve outcomes, and we look forward to connecting you with students hungry to learn.  Please note: Varsity Tutors does not contract in: Alaska, California, Delaware, Hawaii, Maine, New Hampshire, North Dakota, Vermont, West Virginia or Puerto Rico.",Entry level,Full-time,Education and Training,Internet Publishing
228,GRC Risk & Compliance Analyst,DoorDash,United States,N/A,"About The Team  Come help us build the world's most trusted on-demand, logistics engine for delivery! We're building a team of great minds to help us secure and maintain a 24x7, no downtime, global infrastructure system that powers DoorDash’s multi-sided marketplace of consumers, merchants, and drivers.  About The Role  As a Governance, Risk and Compliance (GRC) Compliance & Risk Analyst you will have the opportunity to support international expansion efforts by providing timely, relevant, and targeted guidance to help our business partners move fast while keeping risks in check. While this position is primarily focused on our Japan operations, you will be part of a US based team that helps design policies and shepherd compliance across the globe. If you enjoy creating strong relationships and being a sought-after resource, we want to talk to you!  You’re Excited About This Opportunity Because You Will…  Perform vendor and enterprise risk assessments and recommend appropriate action Consult with other GRC functions and partner organizations to interpret and provide recommendations for assessments, interviews and other communications in Japanese Collaborate with security, engineering, IT, and partner risk functions to design, implement, and perform periodic testing of controls Support efforts to implement identity & access management processes globally Create process documentation, including workflows, process maps, & controls Coordinate internal and external audits, including providing evidence of compliance Design and provide periodic reporting of key performance indicators (KPIs) related to security risks and controls  We’re Excited About You Because You Have…  3+ years of experience with IT audit, IT risk management, and/or third party assessments Solid understanding of how systems work, what security risks affect a variety of data types, applications, and infrastructure Experience solving complex, systemic issues that require creative thinking and solutions Excellent verbal and written communication skills - you are able to easily translate business requirements into technical solutions and vice versa Experience evaluating and/or implementing compliance programs for ISO27001, SOC2, SOX, and/or PCI A Bachelor’s degree in an information systems or business related topic from an accredited college/ university or foreign equivalent CISA, CISSP, or other industry certifications are a plus  Why You’ll Love Working at DoorDash  We are leaders - Leadership is not limited to our management team. It’s something everyone at DoorDash embraces and embodies. We are doers - We believe the only way to predict the future is to build it. Creating solutions that will lead our company and our industry is what we do -- on every project, every day. We are learners - We’re not afraid to dig in and uncover the truth, even if it’s scary or inconvenient. Everyone here is continually learning on the job, no matter if we’ve been in a role for one year or one minute. We are customer-obsessed - Our mission is to grow and empower local economies. We are committed to our customers, merchants, and dashers and believe in connecting people with possibility. We are all DoorDash - The magic of DoorDash is our people, together making our inspiring goals attainable and driving us to greater heights. We offer great compensation packages and comprehensive health benefits.  About DoorDash  At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.  DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.  Our Commitment to Diversity and Inclusion  We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.  Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.  Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.  Pursuant to the Colorado Fair Pay Act, the base salary range in Colorado for this position is $144,000 - $182,000, plus opportunities for equity and commission. Compensation in other geographies may vary.  If you need any accommodations, please inform your recruiting contact upon initial connection.",Not Applicable,Full-time,Legal,Internet Publishing
229,Volunteer: Infographic for 5A Elite Youth Empowerment,Catchafire,"Honolulu, HI",N/A,"Help 5A Elite Youth Empowerment highlight key insights from their data and simplify a complex report so they can be easily understood by different audiences.  Our Mission  ""Strengthening families and empowering children by reversing the impact of trauma and promoting holistic wellness""  Fun Fact About Us Our mission and vision is 100% invested in the young people taking ownership of their own futures in the most tangible ways possible.  What You'll Work On An easily understood visual aid that communicates complex information A high-resolution version of the Infographic in the Organization’s preferred format Additional Details We have recently launched a new program which we feel has the potential to become a flagship program for our organization. We need support with communicating a comprehensive program with various components into an easy to understand visual aid for fundraising presentations.  Your Skills Communications Graphic Design Your Experience Graphic design experience Data interpretation/translation skills Your Availability Works remotely from anywhere 10-30 hours over 2-5 weeks Why You'll Love Volunteering With Us Enhance your skills while supporting a cause you care about Gain samples of work & references to add to your portfolio Directly impact a community organization on the ground Work remotely & create your own schedule Catchafire is committed to helping nonprofits affected by COVID-19 who need virtual volunteers now more than ever. Take a look at the projects we have available to see how you can help.  This volunteer opportunity was originally posted on Catchafire, an online tool that connects nonprofits & social enterprises with passionate professionals who want to donate their skills, pro bono. All Catchafire volunteer opportunities are well scoped, flexible, and include access to support from Catchafire's team of Nonprofit Advisors.  LinkedIn for Good Volunteering ",Associate,Volunteer,"Design, Marketing, and Writing/Editing",Non-profit Organizations and Individual and Family Services
230,"Academic and Behavior Support Staff (School Hours, Year-Round, No Nights, No Weekends, No Holidays)",New Story Schools,"Hillsdale, PA",N/A,"Do you have a passion for education and being a part of a mission-driven organization? Do you want to join a fast-growing company with excellent benefits, such as competitive health and wellness benefits, tuition reimbursement, generous paid time off, and so much more?  New Story School in Indiana, PA is seeking a qualified Academic and Behavior Support Staff to join our clinical team and work in collaboration with the Special Education teachers and other professionals to fulfill the individual curriculum and self-care needs of the students. Have a great work/life balance while helping others. Academic and Behavior Support Staff has a fabulous full-time schedule during school hours M-F, 7:30 am-2:30 pm; comprehensive benefits package including paid time off and paid school holidays; career advancement opportunities. Are you passionate about the special needs population?  Responsibilities Assist with the implementation of each student's Individualized Education Plan (IEP). Assist students in the classroom and collaborate with team members to support goal achievement. Implement appropriate behavior management strategies and techniques. Observe/Record data related to behavioral concerns to assess/monitor the progress of the student. Assist students during participation in special subjects such as physical education, vocational programs and field trips. Work Skills Must possess strong interpersonal skills to establish and maintain effective working relationships with child, parent/guardian, multidisciplinary team members, and other personnel involved in child’s educational/behavioral program. Must have knowledge of common behavioral disorders exhibited by children and adolescents. Must have strong communication skills. Must display a professional appearance and demeanor. Benefits  Eligible New Story Employees will receive competitive pay and benefits including: Medical, Dental, Vision, and Health Savings Account (HSA) Company-paid Short-Term Disability and Life Insurance Voluntary Life Insurance, Long-Term Disability, Hospital, and Accident Coverage Paid time off and paid holidays Tuition reimbursement 401K with 100% vested company contribution Healthcare, dependent care, and commuter Flexible Spending Accounts (FSA) Employee Assistance Program (EAP) Wellness Incentive Program Employee Discount Program Rewards program which allows you to earn points to purchase items New Story School is an educational organization comprised of special education schools in Pennsylvania, Virginia, Ohio, New Jersey, and Massachusetts. We offer an academic learning environment integrated with behavior support services for students diagnosed with autism or emotional/behavioral disorders. Our multidisciplinary teams collaborate with families, school districts, and community partners to empower children in overcoming challenges and creating new stories in their lives.  New Story Schools is proud to be an equal opportunities employer and embraces diversity in the workplace. We are also committed to providing a drug-free, safe workplace for our employees and the students we serve. For more information about New Story Schools careers and benefits, please visit our website https://newstoryschools.com/careers  ExperienceRequired Minimum 3 months paid experience working with students with disabilities. EducationRequired High School or better BehaviorsPreferred Detail Oriented: Capable of carrying out a given task with all details necessary to get the task done well Team Player: Works well as a member of a group MotivationsPreferred Work-Life Balance: Inspired to perform well by having ample time to pursue work and interests outside of work Ability to Make an Impact: Inspired to perform well by the ability to contribute to the success of a project or the organization",Associate,Full-time,Education and Training,Primary and Secondary Education
231,Volunteer: 1-hour Data & Analytics call for Hartford Health Initiative,Catchafire,"Denver, CO",N/A,"Help Hartford Health Initiative by speaking with a member of their organization on the phone for 1 hour about their data and analytics needs.  Our Mission  Our mission is to improve the health outcomes of people in the City of Hartford through increased access to equitable health care and resources.  What Hartford Health Initiative Needs I'd like to brainstorm ideas for developing a database for a project that stores participant data and follow-up data responses.  Your Skills Data Analysis Your Experience Experience in data & analytics and ability to provide advice over the phone Your Availability Works remotely from anywhere 1 hour Why You'll Love Volunteering With Us Enhance your skills while supporting a cause you care about Gain samples of work & references to add to your portfolio Directly impact a community organization on the ground Work remotely & create your own schedule About Ask An Expert Calls One hour, one time calls allow an organization to speak with an expert about a particular challenge or question. Designed for the professional who seeks to fit volunteering into their busy schedule, these calls allow you to make a difference for an organization in just 1 hour.  Catchafire is committed to helping nonprofits affected by COVID-19 who need virtual volunteers now more than ever. Take a look at the projects we have available to see how you can help.  This volunteer opportunity was originally posted on Catchafire, an online tool that connects nonprofits & social enterprises with passionate professionals who want to donate their skills, pro bono. All Catchafire volunteer opportunities are well scoped, flexible, and include access to support from Catchafire's team of Nonprofit Advisors.  LinkedIn for Good Volunteering ",Mid-Senior level,Volunteer,Analyst,Non-profit Organizations and Hospitals and Health Care
232,"Data Engineer Cloud Data Warehouse (Microsoft Azure Cloud, Azure Databricks, Snowflake)– m/f/d",biX Consulting GmbH & Co. KG,"Sofia City, Bulgaria",N/A,"Direct message the job poster from biX Consulting GmbH & Co. KG Frank Liebrand Sales Manager bei biX Consulting GmbH & Co. KG Our Challenge: As a Data Engineer, together with a competent team, you will collect business and technical requirements and convert them into solutions for preparation and integration of decision-relevant information. You will work in the field of cloud data warehousing with a focus on Microsoft Azure Data Platform and will be able to work and develop with newest technologies.  Your Tasks: Collaboration in projects in the area of Cloud Data Warehouse (Azure Databricks, Snowflake) Creation of functional and technical concepts in relation to the data warehousing Implementation of functional and technical requirements in Cloud Data Warehouse Take over responsibility for tasks in customer projects  Preparation and moderation of customer workshops  About you: Ability to work in a team, commitment and a great sense of responsibility to achieve goals. Enjoy exchanging knowledge with colleagues, flexible on customer challenges and enthusiastic about new technologies.  Your skills: A successfully completed degree in business informatics, computer science, business administration, industrial engineering or comparable At least 2 years of experience in Microsoft Azure, Azure Databricks and Snowflake Azure DevOps cloud experience and knowledge of related services like Data Factory Good knowledge in development with SQL, Python or SCALA Know-how regarding data warehouse architecture and big data integration Very good knowledge of English, German would be nice-to-have Willingness to travel if required by the customer  We offer: Working and learning with an experienced team Flexible working hours / Opportunity for home office Benefits and an attractive salary",,Full-time,,
